state,latitude,longitude
California,34.13811680000001,-118.3533783
California,33.8443038,-118.0002265
California,34.1013818,-118.3385342
California,34.0942413,-117.8096805
California,34.12199820000001,-118.2735203
California,33.8605034,-117.8076512
California,34.161657,-118.4675208
California,33.976715,-118.370516
California,33.926611,-118.106239
California,34.2112507,-118.4927641
California,33.81539229999999,-117.9920503
California,33.8957564,-118.1411661
California,33.8588201,-118.30797
California,33.806112,-117.920859
California,33.8055771,-117.9186778
California,34.0163969,-118.0900847
California,33.9056501,-118.0083989
California,33.8171314,-117.9182331
California,33.8413493,-117.9949719
California,33.828618,-118.029669
Illinois,41.6760064,-87.7375938
Illinois,41.6137029,-87.94413639999999
Illinois,41.540963,-87.7881
Illinois,41.777472,-88.19653600000001
Illinois,42.02197159999999,-87.78867749999999
Illinois,42.0357054,-88.1170339
Illinois,41.6939475,-88.10757819999999
Illinois,41.6073544,-87.86393179999999
Illinois,42.002551,-88.01154099999999
Illinois,42.02366899999999,-87.81106339999999
Illinois,42.1808906,-87.8141057
Illinois,42.00700080000001,-87.995948
Texas,29.5474867,-95.01912150000001
Texas,29.7642703,-95.36737920000002
Texas,29.5476891,-95.01997329999999
Texas,29.845021,-95.647621
Texas,29.68880700000001,-95.62514999999999
Texas,30.0705273,-95.43209949999999
Texas,29.9550972,-95.537801
Texas,30.000074,-95.22561329999999
Texas,29.814719,-95.47746869999999
Pennsylvania,39.93450560000001,-74.9623452
Texas,29.5482638,-95.02096520000001
Texas,29.8591467,-95.52666549999999
Texas,29.543444,-95.108886
Texas,29.5955813,-95.6230259
Arizona,33.572526,-112.118788
Arizona,33.38805670000001,-111.8378374
Arizona,33.6309937,-111.9231851
Arizona,33.3883166,-111.8040546
Arizona,33.6958516,-112.1497195
Arizona,33.4456987,-111.9119039
Arizona,33.474739,-112.088152
Arizona,33.859846,-112.132277
Arizona,33.31921940000001,-111.9615918
Arizona,33.274196,-111.829479
Arizona,33.373838,-111.973035
Arizona,33.863228,-112.1353755
Arizona,33.373313,-112.314245
Arizona,33.6452755,-111.9969578
Pennsylvania,39.8158711,-74.9285398
Pennsylvania,40.18422599999999,-74.8718367
Pennsylvania,40.12489299999999,-75.455367
Pennsylvania,39.886608,-75.52900289999999
Pennsylvania,39.803597,-74.98531
Pennsylvania,40.2681644,-74.9855508
Pennsylvania,39.9155282,-75.6317196
Pennsylvania,39.98363599999999,-75.113632
Pennsylvania,39.9425106,-74.9738641
Pennsylvania,40.0761135,-75.0268062
Pennsylvania,39.81427800000001,-74.922201
Texas,29.3313271,-98.6260777
Texas,29.455705,-98.70026999999999
Texas,29.59916869999999,-98.61058129999999
Texas,29.41898380000001,-98.48351199999999
Texas,29.447533,-98.425635
Texas,29.53918,-98.39295199999999
Texas,29.7125754,-98.1232327
Texas,29.4550468,-98.47164289999999
Texas,29.4263427,-98.48707619999999
Texas,29.372826,-98.296357
Texas,29.7093738,-98.12032019999999
Texas,29.539972,-98.39317779999999
Texas,29.458583,-98.69827599999999
California,32.7647903,-117.2266083
California,32.8313649,-117.1671697
California,32.770641,-117.252069
California,33.051126,-117.2796654
California,32.895759,-117.1444397
California,32.9738092,-117.2583215
California,32.58763,-117.0107593
California,32.8082956,-116.9786298
California,32.794237,-117.224013
California,32.5036043,-116.9574352
California,32.81324050000001,-116.9650705
California,32.76959000000001,-117.1462825
California,32.5085444,-116.9429273
California,32.7486972,-117.1614383
California,32.7516361,-117.1936954
California,32.58800799999999,-117.0051924
California,32.6529666,-116.9540207
Texas,32.9420277,-97.0597988
Texas,32.75463229999999,-97.0703546
Texas,32.96093039999999,-96.69842659999999
Texas,33.0134238,-96.7118864
Texas,32.9911585,-96.76897649999999
Texas,32.7467,-97.31044
Texas,33.02822800000001,-96.8410536
Texas,32.7619126,-97.0828909
Texas,32.900951,-96.767034
Texas,32.8852652,-96.90109319999999
Texas,32.9288197,-97.23102659999999
Texas,33.0725319,-97.0226828
Texas,33.118539,-96.66777399999999
Texas,32.8201139,-96.63093019999999
Texas,33.0992715,-96.7316364
Texas,32.8189016,-97.20686769999999
Texas,33.126296,-96.80058799999999
Texas,32.3604608,-96.8897152
California,37.3984051,-121.9751567
California,37.04090350000001,-122.062442
California,37.0049962,-121.6290606
California,37.6998535,-121.810296
California,37.335115,-121.813057
California,37.1233549,-121.625339
California,37.54315159999999,-121.9605748
California,36.964251,-122.0188525
California,37.3935818,-121.9719714
California,37.3641655,-121.9408394
California,37.3254682,-121.8646378
Texas,30.4632265,-97.6663021
Texas,30.3286733,-97.6713731
Texas,29.8777994,-97.95663449999999
Texas,30.2316408,-98.0011837
Texas,30.3323613,-97.509557
Texas,30.4415186,-97.9133136
Texas,29.88605,-97.935107
Texas,30.534465,-97.631874
Texas,30.2512587,-97.76662119999999
